BACODE,BANAME,BANGENAN,BACO2AN,BACO2RTA,BACO2CRT,BACO2EQA,BAC2ERTA,BAC2ECRT,BAFSC2ERT,ci_total_g_per_kwh,ci_combustion_g_per_kwh,ci_total_co2e_g_per_kwh,ci_combustion_co2e_g_per_kwh,ci_fossilonly_g_per_kwh,ba_ef_kg_per_mwh
PJM,"PJM Interconnection, LLC",822990193.059,294667605.023,716.09,1175.76,296031605.381,719.405,1181.203,1191.793,324.81296023330003,533.3157649512,326.31661893985,535.78466822111,540.58821141941,324.81296023330003
DOPD,PUD No. 1 of Douglas County,3498318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACE,PacifiCorp - East,54847525.252,38668452.296,1410.035,1923.984,38911485.248,1418.897,1936.077,1938.968,639.5811174329501,872.70446240208,643.60085301589,878.18975493249,879.50109047416,639.5811174329501
PACW,PacifiCorp - West,8618761.002,1322161.798,306.81,770.712,1332098.109,309.116,776.504,873.98,139.1666750397,349.58908266744004,140.21265904492,352.21628967448004,396.43065953260003,139.1666750397
PGE,Portland General Electric Company,14736945.989,5858963.215,795.139,1062.312,5866333.223,796.14,1063.648,1058.968,360.66898348943005,481.85661775944,361.1230294518,482.46261716576,480.33980487416005,360.66898348943005
PSCO,Public Service Company of Colorado,38279085.472,15362440.681,802.655,1440.599,15431471.483,806.261,1447.073,1455.229,364.07818374235,653.44471462963,365.71383782857,656.3812716330101,660.0807710027301,364.07818374235
PNM,Public Service Company of New Mexico,16936645.764,3338620.777,394.248,973.695,3342080.078,394.657,974.704,976.311,178.82788468776,441.66062270715,179.01340396709,442.11829740848,442.84722034707005,178.82788468776
CHPD,Public Utility District No. 1 of Chelan County,7339987.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCPD,"Public Utility District No. 2 of Grant County, Washington",4131457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSEI,Puget Sound Energy,13511344.994,4335047.281,641.69,854.156,4341753.675,642.683,855.477,871.661,291.0656879053,387.43864438971997,291.51610512871,388.03783991049,395.37877882657,291.0656879053
