BACODE,COAL,GAS,OIL,OFSL,OTHF,NUCLEAR,BIOMASS,GEOTHERMAL,HYDRO,SOLAR,WIND
FPL,0.0,0.7066753134037222,0.0007805631517738365,0.0063132487555215425,0.0,0.21399547155410772,0.007826028241724542,0.0,0.0016023968568359482,0.06280697803631427,0.0
GVL,0.013516736720508364,0.7718989104290034,-1.4867759109024097e-05,0.0,0.0,0.0,0.2120790492997929,0.0,0.0,0.002520171309804372,0.0
GRID,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GRIF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECO,0.0,0.0,0.8110899694986508,0.027325342154204665,0.0,0.0,0.0252087974515819,0.0,0.0,0.07993465578752605,0.056441235108036586
ISNE,0.001990688164175523,0.5613748597756186,0.0038148287971795517,0.015607504096485541,0.0,0.22716235895188497,0.0411746873386067,0.0,0.08000088036822879,0.036198421512528015,0.03267577099529219
IPCO,0.0,0.22531631148991998,3.671965781877713e-06,0.0,0.0,0.0,0.005753146061353383,0.013188427141192664,0.5443758964045488,0.07571953145002314,0.13564301548718016
IID,0.0,0.1949727012187529,0.00011071955454053087,0.0,0.0,0.0,0.03249420505633396,0.5992739747676431,0.028287646271072622,0.14486075313165683,0.0
JEA,0.024734049677471847,0.8051928995674766,0.10211777649142458,8.135556995397301e-05,0.0,0.0,0.0614719879272513,0.0,0.0,0.006401930766421682,0.0
LGEE,0.8101484177607845,0.17862752032447574,0.00045273144811908085,0.0,0.0,0.0,5.563796995758616e-05,0.0,0.010186680489146444,0.0005290120075167709,0.0
LDWP,0.26508380009717764,0.47397333310357415,0.0007226524850118203,0.030445597331073774,0.0,0.0,0.005186541210452648,0.0,0.0476209080441319,0.14433231678420522,0.032634850944372885
MISO,0.28553851724560586,0.3853177003955293,0.004283485529638046,0.00986895857434067,0.0,0.1339832933355938,0.012896846881095943,0.0,0.012217132495699716,0.014013035237687654,0.14188103030480886
GWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
WWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NEVP,0.056836213162637934,0.6333644428208448,0.00021779383952466466,0.0,0.0,0.0,0.0014809556782713082,0.10151722547687976,0.002196611566625196,0.19634971609964436,0.008037041355572023
NBSO,0.0,0.2560470872690474,0.0,0.0,0.0,0.0,0.3787336952036479,0.0,0.13616525519027878,0.009014285583260983,0.2200396767537649
HGMA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYIS,0.0,0.49571087829591454,0.0032506352365215202,0.007652738189464316,0.0,0.21218539448694906,0.012542462766699708,0.0,0.21608815969549486,0.015779684133111517,0.03679004719584455
NAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NA - AK,0.16238779778548537,0.29518600904128506,0.18859249401841247,0.0,0.0,0.0,0.0,0.0,0.339855148631431,1.022311240541443e-05,0.013968327410980603
