Plant latitude,Plant longitude,Plant annual net generation (MWh),Plant primary fuel category
37.041997,-113.626736,199.998,OIL
32.101054,-96.403764,200.001,GAS
40.2247,-84.4769,201.999,OIL
40.768,-73.9515,203.0,OIL
38.080332,-99.893587,205.0,OIL
44.415,-110.5739,206.0,OIL
41.0317,-81.8714,206.001,OIL
29.787919,-95.799137,207.0,GAS
29.64662,-95.161425,210.0,GAS
39.4578,-98.1122,210.0,GAS
39.492,-121.5628,211.001,GAS
40.5458,-84.3889,213.0,OIL
41.6041,-71.9825,215.0,OIL
40.899997,-72.381977,215.0,OIL
28.4263,-81.5809,216.0,GAS
41.5855,-84.5794,216.0,OIL
29.601653,-95.250237,216.999,GAS
42.0356,-91.6458,217.56,OIL
45.128164,-94.53515,219.0,OIL
29.558105,-95.761271,219.0,GAS
36.7106,-99.8906,220.0,OIL
41.5014,-84.4283,220.0,OIL
45.569468,-93.587244,220.999,OIL
43.74453,-93.724129,221.0,GAS
42.6986,-70.8697,222.998,GAS
33.156306,-96.682687,223.0,OIL
38.7619,-89.0128,224.0,GAS
43.266389,-82.619167,225.0,GAS
32.691018,-100.91789,225.999,GAS
43.687322,-92.389392,226.38,OIL
32.774643,-97.291803,227.001,GAS
35.001194,-82.130278,230.0,BIOMASS
43.263235,-93.635383,231.0,OIL
32.66674,-97.209254,231.999,GAS
37.54864,-75.790823,232.0,OIL
29.421764,-95.230784,234.0,GAS
40.873268,-73.912967,234.0,OIL
29.789117,-95.722232,234.999,GAS
29.535168,-95.018815,234.999,GAS
39.825934,-89.637282,236.0,OIL
37.741967,-75.655979,236.0,OIL
44.048333,-123.073889,236.491,GAS
41.871043,-94.680777,237.999,OIL
32.793829,-96.689543,240.0,GAS
29.716069,-95.313027,242.001,GAS
29.992502,-95.744444,243.0,GAS
37.74542,-75.720487,245.0,OIL
26.243944,-98.245055,245.001,GAS
29.690142,-95.774624,246.0,GAS
40.86,-81.7586,246.999,OIL
33.216844,-96.735704,247.0,OIL
31.07212,-97.370901,249.0,GAS
33.097094,-96.798596,249.999,GAS
29.53658,-95.53628,249.999,GAS
42.2747,-71.7172,251.0,OIL
31.11497,-97.414441,251.001,GAS
29.817549,-94.900456,254.001,GAS
42.255386,-71.690509,255.0,GAS
36.659167,-76.926667,255.0,OIL
32.48078,-99.698015,255.999,GAS
29.693424,-95.210408,255.999,GAS
32.967341,-97.411976,258.0,GAS
32.922049,-97.081986,258.999,GAS
28.982463,-95.958458,258.999,GAS
45.510601,-92.979042,261.0,OIL
40.78999,-73.953689,261.002,OIL
29.395822,-100.901074,261.999,GAS
42.25416,-87.864282,262.0,GAS
39.403001,-101.038202,264.0,GAS
31.089722,-97.729279,264.0,GAS
43.6661,-92.0831,265.0,GAS
26.202647,-98.164666,266.001,GAS
27.610637,-99.462215,267.0,GAS
32.959048,-96.81664,267.999,GAS
29.829831,-95.377269,269.001,GAS
33.673162,-96.612131,270.999,GAS
29.613582,-95.644645,273.0,GAS
42.8464,-92.0978,275.001,OIL
29.80599,-95.1652,276.0,GAS
32.433318,-99.758324,276.999,GAS
31.080808,-97.457755,279.0,GAS
41.03539,-81.74896,280.0,OIL
41.2836,-82.2194,280.001,GAS
43.6436,-70.2544,281.0,OIL
29.776274,-94.974458,285.0,GAS
32.576159,-97.130048,285.999,GAS
38.627566,-90.193377,286.0,OIL
29.470152,-95.089643,286.0,GAS
32.381434,-102.78282,286.995,OIL
47.750278,-90.357222,287.001,OIL
39.596667,-88.611944,289.0,OIL
43.326083,-95.148339,289.001,OIL
30.178935,-95.538096,290.001,GAS
29.630428,-95.237434,290.001,GAS
30.106498,-94.170414,290.001,GAS
44.5431,-95.1178,291.0,GAS
30.064779,-95.429453,291.999,GAS
